"id","time","latitude","longitude"
"2",5.74,51.40698069,-2.6631524
"2",5.759,51.40698035,-2.66315162
"2",5.779,51.40698001,-2.66315077
"2",5.799,51.40697968,-2.66314992
"2",5.819,51.40697934,-2.66314897
"2",5.839,51.40697904,-2.66314794
"2",5.86,51.40697874,-2.66314697
"2",5.88,51.40697845,-2.66314612
"2",5.9,51.40697818,-2.66314528
"2",5.92,51.40697793,-2.66314426
"2",5.94,51.40697772,-2.66314315
"2",5.96,51.4069775,-2.66314218
"2",5.98,51.40697726,-2.66314126
"2",6,51.40697704,-2.66314026
"2",6.019,51.40697687,-2.66313922
"2",6.039,51.40697672,-2.6631382
"2",6.059,51.40697658,-2.66313717
"2",6.079,51.40697643,-2.66313599
"2",6.099,51.4069763,-2.66313478
"2",6.119,51.40697616,-2.66313369
"2",6.139,51.40697601,-2.66313273
"2",6.16,51.40697585,-2.66313177
"2",6.18,51.40697573,-2.66313066
"2",6.2,51.40697568,-2.66312937
"2",6.22,51.40697564,-2.66312814
"2",6.24,51.40697557,-2.66312696
"2",6.259,51.40697548,-2.6631257
"2",6.279,51.40697542,-2.66312435
"2",6.299,51.40697539,-2.66312288
"2",6.319,51.40697533,-2.6631215
"2",6.339,51.40697522,-2.66312029
"2",6.36,51.4069751,-2.6631191
"2",6.38,51.40697502,-2.66311777
"2",6.4,51.40697494,-2.66311634
"2",6.42,51.40697481,-2.66311503
"2",6.44,51.40697464,-2.66311392
"2",6.46,51.40697446,-2.66311281
"2",6.48,51.40697431,-2.66311159
"2",6.5,51.40697414,-2.66311038
"2",6.519,51.40697395,-2.66310918
"2",6.539,51.40697375,-2.66310786
"2",6.559,51.40697355,-2.66310645
"2",6.579,51.40697336,-2.66310509
"2",6.599,51.40697317,-2.66310384
"2",6.619,51.40697298,-2.66310274
"2",6.639,51.4069728,-2.66310173
"2",6.66,51.40697264,-2.66310069
"2",6.68,51.40697249,-2.6630996
"2",6.7,51.40697234,-2.66309848
"2",6.72,51.40697217,-2.66309743
"2",6.74,51.40697199,-2.66309643
"2",6.759,51.40697178,-2.66309543
"2",6.779,51.4069716,-2.66309441
"2",6.799,51.40697143,-2.66309339
"2",6.819,51.40697125,-2.66309245
"2",6.839,51.40697105,-2.66309144
"2",6.86,51.40697089,-2.66309033
"2",6.88,51.40697073,-2.66308928
"2",6.9,51.40697053,-2.66308848
"2",6.92,51.4069703,-2.66308794
"2",6.94,51.40697006,-2.66308743
"2",6.96,51.40696983,-2.66308669
"2",6.98,51.4069696,-2.66308576
"2",7,51.40696935,-2.66308482
"2",7.019,51.40696907,-2.6630841
"2",7.039,51.40696879,-2.66308348
"2",7.059,51.40696856,-2.66308267
"2",7.079,51.40696835,-2.66308163
"2",7.099,51.40696812,-2.66308045
"2",7.119,51.40696784,-2.66307939
"2",7.139,51.40696752,-2.66307861
"2",7.16,51.40696719,-2.66307806
"2",7.18,51.40696685,-2.66307761
"2",7.2,51.40696653,-2.66307705
"2",7.22,51.40696622,-2.66307623
"2",7.24,51.40696592,-2.66307531
"2",7.259,51.40696561,-2.66307462
"2",7.279,51.40696527,-2.66307405
"2",7.299,51.40696493,-2.6630735
"3",0,51.40692372,-2.66310713
"3",0.019,51.40692411,-2.66310698
"3",0.039,51.40692455,-2.66310678
"3",0.059,51.40692509,-2.66310647
"3",0.079,51.40692567,-2.66310602
"3",0.099,51.40692624,-2.66310556
"3",0.119,51.40692682,-2.66310511
"3",0.139,51.40692686,-2.66310379
"3",0.16,51.4069269,-2.66310249
"3",0.18,51.40692695,-2.66310118
"3",0.2,51.40692699,-2.66309988
"3",0.22,51.40692718,-2.66309882
"3",0.24,51.40692751,-2.66309827
"3",0.259,51.40692783,-2.66309773
"3",0.279,51.40692811,-2.66309728
"3",0.299,51.40692839,-2.66309666
"3",0.319,51.40692875,-2.66309615
"3",0.339,51.40692918,-2.66309604
"3",0.36,51.40692963,-2.66309573
"3",0.38,51.40693008,-2.66309521
"3",0.4,51.40693054,-2.66309482
"3",0.42,51.40693103,-2.66309472
"3",0.44,51.4069315,-2.66309444
"3",0.46,51.40693195,-2.66309387
"3",0.48,51.40693237,-2.66309355
"3",0.5,51.4069328,-2.66309354
"3",0.519,51.40693323,-2.66309349
"3",0.539,51.40693364,-2.66309298
"3",0.559,51.40693407,-2.66309241
"3",0.579,51.40693455,-2.66309244
"3",0.599,51.40693499,-2.66309249
"3",0.619,51.40693537,-2.66309193
"3",0.639,51.40693571,-2.6630912
"3",0.66,51.40693613,-2.66309119
"3",0.68,51.40693656,-2.66309151
"3",0.7,51.40693694,-2.66309164
"3",0.72,51.40693734,-2.66309198
"3",0.74,51.40693779,-2.6630926
"3",0.759,51.40693822,-2.66309286
"3",0.779,51.40693864,-2.66309274
